Date,Open,High,Low,Close,Adj Close,Volume
2016-03-18,465.509644,470.949921,464.343872,469.601288,453.499420,7015489
2016-03-21,469.944153,476.138763,467.566895,474.218658,457.958466,6354037
2016-03-22,474.081512,481.053314,473.464325,479.041779,462.616180,7666721
2016-03-23,478.607452,478.607452,467.406891,470.515625,454.382355,8403186
2016-03-28,470.881348,471.658539,464.321014,466.492554,450.497284,9035120
2016-03-29,468.046906,476.367340,466.401123,473.738647,457.494904,7935625
2016-03-30,476.687347,480.824707,476.687347,478.676025,462.263000,7226647
2016-03-31,475.910187,482.767670,472.115692,477.830292,461.446228,15416674
2016-04-01,475.041565,478.333160,468.595520,472.915741,456.700226,6190558
2016-04-04,475.453003,476.458771,468.732666,473.190033,456.965088,4316284
2016-04-05,471.498535,476.550201,467.315460,469.487000,453.389069,5129747
2016-04-06,471.841400,473.944366,467.498322,472.595734,456.391205,3495390
2016-04-07,473.121460,479.110352,467.269745,474.195801,457.936340,4394581
2016-04-08,473.578644,482.059052,471.429962,473.784363,457.539093,6705876
2016-04-11,474.081512,477.967438,472.252838,475.590149,459.282898,5154180
2016-04-12,475.590149,483.430573,474.561523,478.836029,462.417511,5582429
2016-04-13,481.190460,489.122284,481.190460,487.362183,470.651337,8019271
2016-04-18,487.247894,487.705078,482.493378,486.767883,470.077362,9532858
2016-04-20,488.802277,488.802277,473.532898,474.218658,457.958466,10843967
2016-04-21,476.093048,480.938995,473.167175,475.978760,459.658234,5690348
2016-04-22,474.995850,478.881744,470.561340,474.972992,458.686890,5852543
2016-04-25,477.487396,477.487396,462.789490,464.892456,448.952057,30578772
2016-04-26,464.206726,468.092621,460.595093,464.915314,448.974121,13214618
2016-04-27,465.349640,469.029816,464.481018,466.035370,450.055786,7251320
2016-04-28,463.566681,465.943939,453.028992,455.657715,440.033936,30974516
2016-04-29,454.171906,456.503479,447.497284,449.257385,433.853088,11739840
2016-05-02,447.565857,453.691895,447.108704,451.200348,435.729370,5310436
2016-05-03,451.680359,454.857666,444.708588,446.102936,430.806763,8785913
2016-05-04,445.302887,449.714539,444.822876,447.154419,431.822205,6773142
2016-05-05,448.023041,449.600250,443.862823,445.851501,430.563934,10832842
2016-05-06,444.822876,446.560089,442.079865,442.971344,427.782562,7374164
2016-05-09,445.737213,450.766022,444.731445,449.440247,434.029694,7673548
2016-05-10,449.440247,450.171722,447.108704,449.188812,433.786835,3624151
2016-05-11,444.274261,448.365906,443.451355,445.920074,430.630219,6169961
2016-05-12,446.194366,454.514801,445.760071,453.874756,438.312103,6393108
2016-05-13,452.114655,452.846130,445.737213,447.177277,431.844299,7324145
2016-05-16,446.651520,449.165955,443.954254,446.171509,430.873016,4663667
2016-05-17,448.137329,449.440247,441.782715,443.062775,427.870880,6078800
2016-05-18,441.576996,444.594269,440.754089,443.702820,428.488953,4114419
2016-05-19,444.228546,444.319977,432.296509,434.856628,419.946075,4567392
2016-05-20,435.222382,436.365295,425.781891,427.084808,412.440704,9272309
2016-05-23,428.524872,430.056396,423.176025,425.164703,410.586517,9182867
2016-05-24,424.273224,431.565033,424.273224,429.942108,415.200073,6141608
2016-05-25,434.239471,435.588104,430.262115,434.856628,419.946075,4620057
2016-05-26,434.308044,435.405243,431.610748,432.867950,418.025604,7095012
2016-05-27,433.873718,446.605804,433.736572,445.600037,430.321106,6700797
2016-05-30,446.377228,448.708771,441.165527,442.857056,427.672241,4816826
2016-05-31,442.994202,444.822876,437.279633,437.896790,422.882019,11666363
2016-06-01,437.942505,441.668427,435.130951,435.953827,421.005676,4521404
2016-06-02,436.365295,437.576782,432.067932,437.165344,422.175598,5126912
2016-06-03,438.879700,440.205475,436.982452,438.719696,423.676697,4321647
2016-06-06,439.336884,440.251190,435.473816,436.502441,421.535492,4336421
2016-06-07,437.622498,439.314026,435.039490,436.616730,421.645874,9477134
2016-06-08,437.965363,437.965363,433.919434,436.182434,421.226471,6067758
2016-06-09,438.879700,446.400085,437.142456,443.977112,428.753845,7821747
2016-06-10,445.280029,450.034576,442.674194,446.514374,431.204132,8158380
2016-06-13,443.405640,449.600250,440.274048,448.525909,433.146637,5107234
2016-06-14,448.457336,450.491730,443.131348,446.308655,431.005432,5461924
2016-06-15,448.023041,450.994598,445.165741,450.126007,434.691864,5564541
2016-06-16,448.480194,449.691681,442.102722,446.331512,431.027496,4686103
2016-06-17,446.651520,447.405853,443.497070,445.691467,430.409424,5267439
2016-06-20,444.434265,453.783325,442.537048,452.686127,437.164246,5379304
2016-06-21,454.469086,454.491943,447.885895,451.268921,435.795654,6966534
2016-06-22,450.308868,450.720306,446.697235,448.251617,432.881775,6394355
2016-06-23,448.000183,448.937378,443.451355,448.228760,432.859711,4918763
2016-06-24,441.119812,441.119812,426.719086,434.970917,420.056488,12492548
2016-06-27,429.964966,438.148224,429.964966,436.891022,421.910736,4581699
2016-06-28,437.233917,439.588318,436.593872,437.873932,422.859924,3802488
2016-06-29,439.794037,442.971344,438.879700,442.034149,426.877533,3761993
2016-06-30,444.365692,446.880127,442.102722,443.062775,427.870880,6379141
2016-07-01,444.708588,446.560089,443.451355,445.028595,429.769287,3305096
2016-07-04,445.965790,454.240479,445.965790,451.086060,435.619049,3901752
2016-07-05,450.811737,458.492126,448.160187,454.011902,438.444580,5679941
2016-07-07,453.737610,457.394928,450.834595,451.634644,436.148804,6014545
2016-07-08,451.223206,452.137512,446.354370,447.291565,431.954681,3570308
2016-07-11,453.051849,454.857666,450.537445,453.737610,438.179657,4133300
2016-07-12,454.994812,459.452179,453.051849,458.720734,442.991974,4883747
2016-07-13,459.543610,464.801025,459.063599,461.166565,445.353851,7457648
2016-07-14,460.869415,463.612396,456.366302,459.406464,443.654144,5379186
2016-07-15,461.280853,466.766846,458.766449,462.743774,446.877045,6996494
2016-07-18,469.967010,474.881561,457.966400,460.023651,444.250153,16053425
2016-07-19,459.909363,467.658325,455.017670,465.303925,449.349396,8324650
2016-07-20,466.286835,470.104156,464.732452,467.681183,451.645142,6132658
2016-07-21,468.138336,468.595520,459.452179,460.069366,444.294312,3355548
